hours,attendance,marks
4138,72,85
4139,73,100
4140,99,100
4141,57,84
4142,90,100
4143,55,87
4144,54,84
4145,93,100
4146,78,95
4147,77,100
4148,60,85
4149,50,86
4150,92,100
4151,68,99
4152,58,96
4153,76,100
4154,83,100
4155,93,100
4156,53,86
4157,85,100
4158,67,98
4159,64,81
4160,100,100
4161,62,91
4162,68,87
4163,98,100
4164,55,74
4165,97,100
4166,61,89
4167,100,100
4168,86,100
4169,66,95
4170,72,93
4171,75,97
4172,78,100
4173,82,100
4174,76,100
4175,74,99
4176,59,87
4177,96,100
4178,72,100
4179,70,96
4180,70,89
4181,92,100
4182,62,90
4183,86,100
4184,82,100
4185,73,100
4186,93,100
4187,60,83
4188,66,93
4189,53,87
4190,96,100
4191,74,100
4192,79,100
4193,58,90
4194,70,94
4195,69,100
4196,68,95
4197,68,98
4198,61,86
4199,86,100
4200,91,100
4201,66,95
4202,86,100
4203,97,100
4204,88,100
4205,77,100
4206,90,100
4207,84,99
4208,96,100
4209,97,100
4210,67,87
4211,63,93
4212,84,100
4213,93,100
4214,90,100
4215,56,93
4216,90,100
4217,62,92
4218,67,95
4219,86,100
4220,62,93
4221,85,100
4222,80,100
4223,51,75
4224,65,94
4225,58,91
4226,58,86
4227,87,100
4228,60,84
4229,71,92
4230,82,100
4231,85,100
4232,94,100
4233,72,94
4234,94,100
4235,94,100
4236,83,100
4237,58,84
4238,73,97
4239,57,94
4240,56,91
4241,85,100
4242,67,100
4243,52,83
4244,77,100
4245,55,85
4246,93,100
4247,93,100
4248,70,97
4249,77,100
4250,89,100
4251,50,82
4252,85,100
4253,70,100
4254,92,100
4255,84,100
4256,62,93
4257,98,100
4258,59,88
4259,93,100
4260,96,100
4261,59,85
4262,95,100
4263,62,91
4264,86,100
4265,87,100
4266,73,100
4267,51,88
4268,71,100
4269,66,90
4270,85,100
4271,63,100
4272,59,90
4273,84,100
4274,74,94
4275,52,85
4276,96,100
4277,87,100
4278,66,87
4279,61,89
4280,73,100
4281,78,100
4282,92,100
4283,74,100
4284,85,100
4285,75,100
4286,87,100
4287,50,82
4288,69,100
4289,77,100
4290,65,95
4291,96,100
4292,66,100
4293,89,100
4294,77,97
4295,61,84
4296,76,99
4297,91,100
4298,96,100
4299,79,100
4300,90,100
4301,83,100
4302,86,100
4303,55,86
4304,56,86
4305,81,100
4306,81,100
4307,74,100
4308,82,100
4309,56,93
4310,61,91
4311,65,95
4312,65,100
4313,92,100
4314,85,100
4315,62,92
4316,56,87
4317,85,100
4318,96,100
4319,100,100
4320,58,100
4321,81,100
4322,60,80
4323,57,84
4324,82,100
4325,72,100
4326,74,100
4327,57,88
4328,94,100
4329,71,100
4330,53,81
4331,89,100
4332,52,78
4333,78,100
4334,90,100
4335,78,100
4336,83,100
4337,83,100
4338,77,98
4339,62,85
4340,64,98
4341,72,98
4342,93,100
4343,75,100
4344,53,91
4345,75,95
4346,89,100
4347,58,92
4348,54,89
4349,81,100
4350,69,94
4351,99,100
4352,60,93
4353,64,86
4354,81,100
4355,77,100
4356,71,91
4357,90,100
4358,66,87
4359,75,100
4360,93,100
4361,56,85
4362,91,100
4363,75,96
4364,74,100
4365,59,81
4366,94,100
4367,68,100
4368,60,80
4369,62,90
4370,57,87
4371,89,100
4372,53,91
4373,96,100
4374,80,100
4375,77,100
4376,60,91
4377,92,100
4378,50,86
4379,98,100
4380,96,100
4381,87,100
4382,73,96
4383,96,100
4384,80,100
4385,90,100
4386,95,100
4387,99,100
4388,75,100
4389,98,100
4390,99,100
4391,54,78
4392,69,100
4393,90,100
4394,60,91
4395,82,100
4396,99,100
4397,87,100
4398,76,100
4399,83,100
4400,64,93
4401,81,100
4402,70,100
4403,95,100
4404,54,99
4405,55,91
4406,87,100
4407,71,98
4408,67,100
4409,63,90
4410,59,86
4411,95,100
4412,62,93
4413,80,100
4414,79,100
4415,52,90
4416,79,100
4417,55,93
4418,78,100
4419,57,94
4420,93,100
4421,94,100
4422,92,100
4423,93,100
4424,82,100
4425,66,87
4426,97,100
4427,60,88
4428,62,97
4429,99,100
4430,60,90
4431,80,100
4432,77,100
4433,93,100
4434,55,82
4435,90,100
4436,65,93
4437,53,82
4438,84,100
4439,97,100
4440,75,99
4441,61,92
4442,60,93
4443,86,100
4444,74,100
4445,67,90
4446,68,89
4447,72,100
4448,87,100
4449,67,92
4450,75,100
4451,55,89
4452,53,82
4453,93,100
4454,100,100
4455,78,100
4456,83,100
4457,66,91
4458,92,100
4459,92,100
4460,65,96
4461,51,86
4462,83,100
4463,57,93
4464,62,97
4465,91,100
4466,57,85
4467,79,100
4468,81,100
4469,85,100
4470,96,100
4471,79,100
4472,50,84
4473,92,100
4474,88,100
4475,66,93
4476,69,97
4477,73,100
4478,99,100
4479,71,100
4480,78,100
4481,71,99
4482,93,100
4483,58,89
4484,86,100
4485,59,95
4486,85,100
4487,86,100
4488,77,100
4489,77,100
4490,91,100
4491,92,100
4492,70,100
4493,73,100
4494,91,100
4495,89,100
4496,51,77
4497,57,89
4498,97,100
4499,76,100
4500,71,100
4501,86,100
4502,76,100
4503,78,100
4504,52,80
4505,93,100
4506,62,100
4507,94,100
4508,59,82
4509,85,100
4510,58,90
4511,76,100
4512,83,100
4513,100,100
4514,50,77
4515,81,100
4516,74,98
4517,78,100
4518,56,86
4519,98,100
4520,52,86
4521,69,100
4522,69,97
4523,79,100
4524,84,100
4525,84,100
4526,98,100
4527,88,100
4528,76,100
4529,75,100
4530,63,96
4531,66,94
4532,67,100
4533,94,100
4534,78,100
4535,69,99
4536,76,100
4537,67,97
4538,53,85
4539,50,85
4540,99,100
4541,50,85
4542,75,100
4543,94,100
4544,69,100
4545,72,99
4546,59,100
4547,60,100
4548,90,100
4549,90,100
4550,54,87
4551,50,87
4552,66,94
4553,71,96
4554,83,100
4555,94,100
4556,90,100
4557,78,100
4558,53,87
4559,54,93
4560,60,90
4561,100,100
4562,70,100
4563,84,100
4564,61,100
4565,75,100
4566,100,100
4567,68,98
4568,94,100
4569,56,88
4570,96,100
4571,56,86
4572,75,100
4573,89,100
4574,54,91
4575,70,100
4576,63,96
4577,53,91
4578,72,100
4579,91,100
4580,69,100
4581,64,100
4582,99,100
4583,94,100
4584,78,100
4585,57,100
4586,90,100
4587,97,100
4588,68,100
4589,97,100
4590,88,100
4591,95,100
4592,77,100
4593,95,100
4594,76,100
4595,53,96
4596,64,100
4597,84,100
4598,86,100
4599,50,82
4600,52,85
4601,96,100
4602,73,100
4603,76,100
4604,89,100
4605,85,100
4606,83,100
4607,78,100
4608,73,94
4609,73,100
4610,91,100
4611,53,87
4612,52,89
4613,83,100
4614,98,100
4615,72,95
4616,72,100
4617,94,100
4618,54,93
4619,80,100
4620,90,100
4621,55,91
4622,86,100
4623,59,91
4624,89,100
4625,56,77
4626,88,100
4627,87,100
4628,70,100
4629,69,100
4630,52,96
4631,100,100
4632,71,100
4633,96,100
4634,53,92
4635,77,100
4636,61,91
4637,87,100
4638,100,100
4639,85,100
4640,96,100
4641,90,100
4642,54,85
4643,62,100
4644,72,100
4645,99,100
4646,79,100
4647,86,100
4648,74,100
4649,97,100
4650,76,100
4651,100,100
4652,63,91
4653,97,100
4654,96,100
4655,85,100
4656,88,100
4657,65,100
4658,71,100
4659,70,100
4660,70,97
4661,57,85
4662,98,100
4663,65,98
4664,80,100
4665,91,100
4666,59,96
4667,81,100
4668,83,100
4669,58,86
4670,66,100
4671,60,94
4672,81,100
4673,59,94
4674,71,93
4675,66,100
4676,53,79
4677,97,100
4678,96,100
4679,74,100
4680,70,100
4681,86,100
4682,87,100
4683,98,100
4684,50,88
4685,74,100
4686,100,100
4687,85,100
4688,66,97
4689,90,100
4690,73,97
4691,51,87
4692,89,100
4693,64,100
4694,81,100
4695,88,100
4696,55,91
4697,50,84
4698,96,100
4699,72,100
4700,88,100
4701,66,96
4702,83,100
4703,90,100
4704,78,100
4705,58,93
4706,62,84
4707,55,82
4708,55,89
4709,69,99
4710,52,88
4711,66,97
4712,98,100
4713,61,84
4714,97,100
4715,96,100
4716,94,100
4717,50,91
4718,66,100
4719,52,85
4720,75,100
4721,64,88
4722,85,100
4723,81,100
4724,81,100
4725,53,88
4726,67,95
4727,98,100
4728,68,100
4729,92,100
4730,84,100
4731,89,100
4732,63,100
4733,82,100
4734,63,100
4735,83,100
4736,53,80
4737,73,100
4738,78,100
4739,68,98
4740,55,93
4741,82,100
4742,98,100
4743,89,100
4744,68,100
4745,50,88
4746,54,91
4747,76,100
4748,65,100
4749,55,81
4750,89,100
4751,62,100
4752,97,100
4753,84,100
4754,68,99
4755,61,95
4756,65,100
4757,92,100
4758,59,97
4759,74,100
4760,69,100
4761,80,100
4762,53,98
4763,93,100
4764,72,100
4765,51,98
4766,71,100
4767,100,100
4768,86,100
4769,57,86
4770,56,100
4771,63,100
4772,52,89
4773,99,100
4774,65,94
4775,68,94
4776,100,100
4777,67,100
4778,65,100
4779,57,87
4780,82,100
4781,98,100
4782,61,96
4783,60,100
4784,54,96
4785,76,100
4786,61,95
4787,66,100
4788,55,95
4789,82,100
4790,54,90
4791,77,100
4792,63,99
4793,54,88
4794,82,100
4795,99,100
4796,97,100
4797,90,100
4798,68,100
4799,71,100
4800,54,87
4801,51,90
4802,79,100
4803,96,100
4804,88,100
4805,53,85
4806,82,100
4807,62,100
4808,69,100
4809,56,97
4810,64,100
4811,72,100
4812,63,100
4813,72,100
4814,68,100
4815,78,100
4816,69,100
4817,78,100
4818,73,100
4819,67,100
4820,59,89
4821,90,100
4822,57,93
4823,75,100
4824,78,100
4825,59,100
4826,66,100
4827,51,93
4828,55,93
4829,54,89
4830,77,100
4831,90,100
4832,54,81
4833,67,100
4834,75,100
4835,69,100
4836,90,100
4837,98,100
4838,76,100
4839,98,100
4840,61,100
4841,56,92
4842,52,98
4843,59,100
4844,83,100
4845,74,100
4846,84,100
4847,65,100
4848,51,84
4849,73,100
4850,59,100
4851,87,100
4852,71,100
4853,75,100
4854,92,100
4855,88,100
4856,76,100
4857,78,100
4858,96,100
4859,87,100
4860,69,100
4861,76,100
4862,90,100
4863,69,100
4864,93,100
4865,68,97
4866,69,100
4867,84,100
4868,96,100
4869,51,88
4870,79,100
4871,83,100
4872,71,100
4873,52,96
4874,55,95
4875,64,99
4876,76,100
4877,59,92
4878,58,92
4879,82,100
4880,81,100
4881,97,100
4882,55,94
4883,90,100
4884,85,100
4885,51,83
4886,78,100
4887,53,89
4888,50,89
4889,68,100
4890,75,100
4891,74,100
4892,59,96
4893,64,100
4894,71,100
4895,100,100
4896,97,100
4897,70,100
4898,71,98
4899,85,100
4900,83,100
4901,79,100
4902,74,100
4903,94,100
4904,77,100
4905,50,95
4906,98,100
4907,94,100
4908,53,91
4909,56,91
4910,98,100
4911,58,91
4912,85,100
4913,68,97
4914,50,85
4915,59,100
4916,85,100
4917,58,99
4918,94,100
4919,95,100
4920,91,100
4921,81,100
4922,81,100
4923,55,94
4924,97,100
4925,87,100
4926,66,100
4927,59,93
4928,99,100
4929,76,100
4930,99,100
4931,84,100
4932,70,100
4933,74,100
4934,77,100
4935,96,100
4936,64,94
4937,53,100
4938,78,100
4939,58,100
4940,76,100
4941,75,100
4942,68,100
4943,77,100
4944,66,100
4945,92,100
4946,90,100
4947,91,100
4948,99,100
4949,69,100
4950,94,100
4951,89,100
4952,88,100
4953,98,100
4954,72,100
4955,96,100
4956,81,100
4957,96,100
4958,82,100
4959,95,100
4960,54,94
4961,92,100
4962,97,100
4963,83,100
4964,89,100
4965,60,100
4966,99,100
4967,52,94
4968,82,100
4969,60,96
4970,65,93
4971,67,100
4972,79,100
4973,97,100
4974,59,100
4975,67,98
4976,87,100
4977,68,100
4978,85,100
4979,62,95
4980,95,100
4981,52,84
4982,59,94
4983,87,100
4984,50,90
4985,76,100
4986,95,100
4987,57,100
4988,100,100
4989,95,100
4990,91,100
4991,66,100
4992,58,92
4993,55,94
4994,92,100
4995,74,100
4996,88,100
4997,98,100
4998,77,100
4999,82,100
5000,86,100
